"sec_nm","stk_cd","stk_nm","60일prc기울기","60일vol기울기","rank"
"","006405",삼성SDI우,638.055550,544.773050,1
"","00279K",아모레G3우(전환),515.708333,171.399717,2
"","051905",LG생활건강우,403.333333,13.931950,3
IT서비스,"035720",카카오,211.527783,3391.642783,1
IT서비스,"093320",케이아이엔엑스,116.805550,18.126117,2
IT서비스,"035420",NAVER,99.722217,1379.836383,3
가구제조업,"003800",에이스침대,72.416667,62.639450,1
가구제조업,"013890",지누스,64.700283,1158.374717,2
가구제조업,"134790",시디즈,18.277783,9.361117,3
가스유틸리티,"016710",대성홀딩스,3.625000,293.594717,1
가스유틸리티,"053050",지에스이,2.083333,7618.496950,2
가정용기기,"002700",신일전자,1.634733,19789.961933,1
가정용기기,"071460",위니아딤채,1.216667,1599.052233,2
가정용기기,"067170",오텍,0.758333,4886.959167,3
건설,"065950",웰크론,35.013883,295567.761117,1
건축자재,"109610",에스와이,1.293883,7636.337500,1
건축제품,"006050",국영지앤엠,12.677783,15133.998617,1
건축제품,"090410",덕신하우징,2.887767,20953.775283,3
게임엔터테인먼트,"036570",엔씨소프트,1406.111100,300.356383,1
게임엔터테인먼트,"181710",NHN,102.916667,574.796117,2
게임엔터테인먼트,"251270",넷마블,31.472217,1166.289167,3
교육,"215200",메가스터디교육,64.194433,131.031117,1
교육,"289010",아이스크림에듀,21.961117,30698.050000,2
교육,"133750",메가엠디,4.586100,86776.492500,3
금융,"033660",아주캐피탈,8.583333,55.756100,1
금융,"007860",서연,6.869450,29151.275833,2
금융,"016600",큐캐피탈,1.808050,186391.092233,3
기계와장비,"290670",대보마그네틱,51.769167,737.159717,1
기계와장비,"282880",코윈테크,37.483617,3783.599450,3
기타서비스,"012510",더존비즈온,174.833333,891.645000,1
기타서비스,"089600",나스미디어,53.190550,926.625550,2
디스플레이장비및부품,"278280",천보,130.750000,916.253050,1
디스플레이장비및부품,"213420",덕산네오룩스,110.458333,2244.121117,2
디스플레이장비및부품,"187870",디바이스이엔지,54.194167,1285.741950,3
레저,"008770",호텔신라,58.305550,6667.145000,1
레저,"220630",해마로푸드서비스,2.775000,1308.171667,3
반도체,"058470",리노공업,271.527767,650.263050,1
반도체,"200710",에이디테크놀로지,158.077217,7487.356100,2
반도체,"131970",테스나,154.272500,2393.614717,3
비철금속,"065620",제낙스,44.159717,5050.764450,1
비철금속,"037760",쎄니트,2.261117,6821.504167,3
생물공학,"145020",휴젤,70.093883,181.503333,1
생물공학,"011000",진원생명과학,16.784167,156590.991117,2
섬유의류,"308100",까스텔바작,15.294433,2241.663617,2
섬유의류,"001070",대한방직,11.277767,56.890267,3
소매유통업,"006370",대구백화점,4.133333,74.580550,1
오락과문화,"122870",와이지엔터테인먼트,52.000000,1723.080550,1
오락과문화,"034120",SBS,49.541667,1041.248600,2
우주항공및국방,"099320",쎄트렉아이,27.277783,1868.898600,1
운송업,"095570",AJ네트웍스,2.720833,636.144717,1
유통,"028260",삼성물산,77.750000,2262.513333,1
유통,"009240",한샘,62.361100,431.633333,2
유통,"000440",중앙에너비스,36.805550,894.773600,3
음식료,"004370",농심,165.972217,389.774717,1
음식료,"003230",삼양식품,59.972233,196.356383,2
음식료,"097950",CJ제일제당,47.083333,234.168617,3
의료정밀기기,"302550",리메드,141.861117,1565.724717,1
의료정밀기기,"228670",레이,102.125000,228.871117,2
의료정밀기기,"100120",뷰웍스,60.902783,298.766667,3
자동차부품,"072470",우리산업홀딩스,25.727783,8087.607233,2
자동차부품,"215360",우리산업,25.180550,3615.466400,3
전기전자,"018290",브이티지엠피,4.433333,5275.946383,1
전기전자,"267260",현대일렉트릭,4.061667,41.681950,2
전기전자,"189860",서전기전,3.802783,4535.647217,3
전자부품제조업,"006400",삼성SDI,788.194433,5480.440283,1
전자부품제조업,"247540",에코프로비엠,286.277783,10501.248050,2
전자부품제조업,"009150",삼성전기,179.194450,6208.510550,3
전자장비와기기,"236200",슈프리마,109.263883,391.048333,2
전자장비와기기,"140860",파크시스템스,60.680550,323.365833,3
제약바이오,"207940",삼성바이오로직스,1013.472217,1303.860000,1
제약바이오,"311690",천랩,328.541667,391.980550,2
제약바이오,"235980",메드팩토,242.201383,5728.836667,3
조선,"064820",케이프,12.387500,40454.573600,1
조선,"065570",삼영이엔씨,3.141667,302.135550,2
조선,"017960",한국카본,1.491667,3545.530567,3
종이와목재,"002310",아세아제지,27.208333,550.813883,1
종이와목재,"012690",모나리자,23.431950,143640.445833,2
종이와목재,"017650",대림제지,21.062500,19677.963333,3
주류제조업,"023150",MH에탄올,15.911117,17567.178883,1
주류제조업,"004650",창해에탄올,9.980567,22422.293333,2
주류제조업,"000080",하이트진로,1.763883,2360.887217,3
증권,"001750",한양증권,1.233333,788.899167,2
철강과금속,"263770",유에스티,2.344450,7669.919167,1
컴퓨터와주변기기,"051380",피씨디렉트,34.030550,7432.921950,1
컴퓨터와주변기기,"012600",센트럴인사이트,0.578333,1604.289733,3
통신장비,"327260",메탈라이프,228.319450,3024.610000,1
통신장비,"230240",에치에프알,108.756667,6871.649433,2
통신장비,"073490",이노와이어리스,106.819433,3882.049433,3
항공사,"180640",한진칼,196.388883,26075.772767,1
해운사,"124560",태웅로직스,35.731950,8188.747500,1
해운사,"011200",HMM,0.430567,10285.115567,2
핸드셋,"097520",엠씨넥스,84.319433,3007.584450,1
핸드셋,"065680",우주일렉트로,40.288883,2021.884733,2
핸드셋,"052710",아모텍,26.597233,142.452783,3
화물운송과물류,"002320",한진,51.847233,1136.721383,1
화물운송과물류,"014130",한익스프레스,4.866667,12398.450833,2
화물운송과물류,"009180",한솔로지스틱스,2.319733,15270.566933,3
화장품,"051900",LG생활건강,322.500000,320.970833,1
화학,"051910",LG화학,717.777783,4470.245833,1
화학,"003670",포스코케미칼,102.775833,6404.169733,2
