"stk_cd","stk_nm","당기순이익"
"006400",삼성SDI,402366429569.000
"051910",LG화학,376104000000.000
"036570",엔씨소프트,359154722508.000
"004370",농심,71068947413.000
"091990",셀트리온헬스케어,64961999795.000
"084850",아이티엠반도체,41666847581.000
"017890",한국알콜,32051476853.000
"003480",한진중공업홀딩스,30355000000.000
"033640",네패스,29831094679.000
"096530",씨젠,26709827741.000
"060250",NHN한국사이버결제,24475778184.000
"218410",RFHIC,20164377270.000
"073490",이노와이어리스,13146730374.000
"065680",우주일렉트로,11787370553.000
"026890",디피씨,11097059262.000
"004650",창해에탄올,10765167650.000
"131370",알서포트,8870797405.000
"064820",케이프,8238047759.000
"083550",케이엠,6394603942.000
"290720",푸드나무,4453856111.000
"217820",엔에스,4304940186.000
"057030",YBM넷,1783631509.000
"133750",메가엠디,804927767.000
"230240",에치에프알,421672475.000
"037950",엘컴텍,-568616220.000
"060230",이그잭스,-1000321492.000
"043910",자연과환경,-1468604464.000
"051160",지어소프트,-1480872708.000
"058110",멕아이씨에스,-1689299072.000
"067000",조이시티,-1895237610.000
"176440",에이치엔티,-2069551690.000
"002320",한진,-2865354871.000
"137400",피엔티,-3016157727.000
"005320",국동,-3971437934.000
"031860",엔에스엔,-7301061671.000
"023150",MH에탄올,-7552042785.000
"011000",진원생명과학,-7618562789.000
"033050",제이엠아이,-7980950610.000
"004140",동방,-8669487669.000
"004540",깨끗한나라,-11786429608.000
"038290",마크로젠,-13383140822.000
"001070",대한방직,-15955033416.000
"065950",웰크론,-23906880563.000
"035620",바른손이앤에이,-24053157866.000
"118990",모트렉스,-38451988659.000
"180640",한진칼,-259177507660.000
